Duration (in seconds),What is your age (# years)?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired): - Selected Choice,Select the title most similar to your current role (or most recent title if retired): - Other - Text,What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?
443,30-34,Male,-1,United States of America,Master’s degree,Other,7,"> 10,000 employees",20+,We are exploring ML methods (and may one day put a model into production)
1013,22-24,Female,-1,India,I prefer not to answer,Student,-1,,,
448,35-39,Male,-1,Mexico,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
691,30-34,Male,-1,United States of America,Bachelor’s degree,Data Analyst,-1,250-999 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
585,25-29,Female,-1,United States of America,Doctoral degree,Student,-1,,,
748,22-24,Male,-1,France,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
446,35-39,Prefer to self-describe,0,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,-1,"> 10,000 employees",15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)"
462,40-44,Male,-1,Other,Master’s degree,Other,-1,"1000-9,999 employees",2-Jan,No (we do not use ML methods)
474,25-29,Prefer not to say,-1,United States of America,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
627,18-21,Male,-1,Russia,Bachelor’s degree,Data Scientist,-1,"1000-9,999 employees",2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
548,22-24,Male,-1,India,Bachelor’s degree,Software Engineer,-1,"1000-9,999 employees",20+,I do not know
573,22-24,Male,-1,India,Master’s degree,Student,-1,,,
711,30-34,Male,-1,India,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
703,22-24,Male,-1,Australia,Master’s degree,Software Engineer,-1,50-249 employees,4-Mar,No (we do not use ML methods)
287,18-21,Male,-1,India,Some college/university study without earning a bachelor’s degree,Student,-1,,,
610,18-21,Male,-1,Brazil,Bachelor’s degree,Student,-1,,,
431,30-34,Female,-1,India,Master’s degree,Other,-1,0-49 employees,2-Jan,I do not know
575,22-24,Male,-1,India,Bachelor’s degree,Student,-1,,,
514,35-39,Male,-1,Japan,Doctoral degree,Research Scientist,-1,250-999 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
485,35-39,Male,-1,Canada,Doctoral degree,Research Scientist,-1,"1000-9,999 employees",20+,We use ML methods for generating insights (but do not put working models into production)
419,18-21,Male,-1,India,Some college/university study without earning a bachelor’s degree,Student,-1,,,
69,30-34,Male,-1,United States of America,Master’s degree,Data Engineer,-1,"1000-9,999 employees",9-May,We use ML methods for generating insights (but do not put working models into production)
326,30-34,Male,-1,Portugal,Doctoral degree,Data Scientist,-1,"1000-9,999 employees",15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)"
284,25-29,Male,-1,United States of America,Master’s degree,Data Engineer,-1,50-249 employees,9-May,We are exploring ML methods (and may one day put a model into production)
392,25-29,Male,-1,Russia,Bachelor’s degree,Software Engineer,-1,50-249 employees,2-Jan,No (we do not use ML methods)
367,22-24,Female,-1,India,Bachelor’s degree,Student,-1,,,
414,30-34,Male,-1,Canada,Master’s degree,Business Analyst,-1,"1000-9,999 employees",4-Mar,We are exploring ML methods (and may one day put a model into production)
369,30-34,Female,-1,United States of America,Master’s degree,Data Engineer,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
558,22-24,Male,-1,France,Master’s degree,Data Scientist,-1,0-49 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
751,22-24,Male,-1,United States of America,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
680,30-34,Male,-1,Canada,Doctoral degree,Research Scientist,-1,0-49 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
673,25-29,Male,-1,Poland,Master’s degree,Research Scientist,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
403,22-24,Male,-1,Indonesia,Master’s degree,Data Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
712,35-39,Male,-1,Netherlands,I prefer not to answer,Software Engineer,-1,50-249 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
413,30-34,Male,-1,Italy,Some college/university study without earning a bachelor’s degree,Data Scientist,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
906,45-49,Male,-1,France,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
440,22-24,Male,-1,India,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",20+,I do not know
805,22-24,Male,-1,Brazil,Bachelor’s degree,Business Analyst,-1,50-249 employees,2-Jan,No (we do not use ML methods)
345,30-34,Male,-1,United States of America,Master’s degree,Business Analyst,-1,0-49 employees,2-Jan,No (we do not use ML methods)
515,30-34,Male,-1,India,Bachelor’s degree,Business Analyst,-1,50-249 employees,9-May,I do not know
1036,25-29,Male,-1,Czech Republic,Master’s degree,Research Scientist,-1,"1000-9,999 employees",14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
991,35-39,Prefer not to say,-1,United States of America,Master’s degree,Data Scientist,-1,50-249 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
379,18-21,Male,-1,India,No formal education past high school,Student,-1,,,
1633,25-29,Female,-1,Other,Master’s degree,Software Engineer,-1,0-49 employees,0,No (we do not use ML methods)
356,22-24,Male,-1,Pakistan,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
462,50-54,Male,-1,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,-1,0-49 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
627,30-34,Male,-1,United States of America,Master’s degree,Data Scientist,-1,50-249 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
492,30-34,Male,-1,Spain,Doctoral degree,Student,-1,,,
272,25-29,Male,-1,United States of America,Doctoral degree,Student,-1,,,
464,30-34,Female,-1,United States of America,Master’s degree,Data Engineer,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
489,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
474,35-39,Male,-1,Sweden,Doctoral degree,Data Scientist,-1,"> 10,000 employees",9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
537,25-29,Male,-1,United States of America,Master’s degree,Data Analyst,-1,250-999 employees,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)"
677,25-29,Female,-1,Morocco,Master’s degree,Not employed,-1,,,
1099,25-29,Male,-1,India,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
660,45-49,Male,-1,India,I prefer not to answer,Other,-1,50-249 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
501,25-29,Male,-1,Spain,Master’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
483,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
386,22-24,Male,-1,Greece,Master’s degree,Not employed,-1,,,
835,35-39,Male,-1,Russia,Professional degree,Data Scientist,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
146,22-24,Male,-1,United States of America,Bachelor’s degree,Data Analyst,-1,0-49 employees,4-Mar,No (we do not use ML methods)
655,25-29,Prefer not to say,-1,Other,Doctoral degree,Software Engineer,-1,0-49 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
583,40-44,Male,-1,India,Master’s degree,Data Engineer,-1,"> 10,000 employees",14-Oct,We use ML methods for generating insights (but do not put working models into production)
406,25-29,Male,-1,United States of America,Master’s degree,Data Scientist,-1,50-249 employees,2-Jan,We are exploring ML methods (and may one day put a model into production)
422,25-29,Male,-1,India,Doctoral degree,Student,-1,,,
638,30-34,Male,-1,United States of America,Doctoral degree,Data Scientist,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
509,22-24,Male,-1,Pakistan,Master’s degree,Data Scientist,-1,50-249 employees,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)"
2591,25-29,Male,-1,Chile,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
349,25-29,Male,-1,Other,No formal education past high school,Not employed,-1,,,
562,22-24,Male,-1,India,Bachelor’s degree,Student,-1,,,
347,22-24,Male,-1,India,Bachelor’s degree,Not employed,-1,,,
493,22-24,Male,-1,France,Master’s degree,Software Engineer,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
549,18-21,Female,-1,India,Bachelor’s degree,Software Engineer,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
613,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
438,45-49,Male,-1,Hong Kong (S.A.R.),Professional degree,Data Analyst,-1,"> 10,000 employees",2-Jan,No (we do not use ML methods)
456,30-34,Female,-1,Mexico,Master’s degree,Software Engineer,-1,50-249 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
851,25-29,Male,-1,India,Master’s degree,Software Engineer,-1,250-999 employees,20+,We are exploring ML methods (and may one day put a model into production)
1235,50-54,Male,-1,Spain,Doctoral degree,Research Scientist,-1,"1000-9,999 employees",9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
395,18-21,Female,-1,India,Master’s degree,Data Scientist,-1,"> 10,000 employees",15-19,"We have well established ML methods (i.e., models in production for more than 2 years)"
432,22-24,Male,-1,India,Bachelor’s degree,Not employed,-1,,,
925,25-29,Male,-1,South Africa,Bachelor’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
598,30-34,Male,-1,Hungary,Doctoral degree,Student,-1,,,
180,30-34,Male,-1,France,Doctoral degree,Research Scientist,-1,250-999 employees,4-Mar,No (we do not use ML methods)
1120,40-44,Male,-1,India,Master’s degree,Data Scientist,-1,"> 10,000 employees",9-May,We use ML methods for generating insights (but do not put working models into production)
1475,60-69,Male,-1,United States of America,Master’s degree,Software Engineer,-1,"1000-9,999 employees",4-Mar,No (we do not use ML methods)
1210,45-49,Female,-1,Argentina,Professional degree,Data Analyst,-1,"1000-9,999 employees",20+,We are exploring ML methods (and may one day put a model into production)
1149,25-29,Male,-1,Turkey,Doctoral degree,Data Scientist,-1,"1000-9,999 employees",2-Jan,We use ML methods for generating insights (but do not put working models into production)
375,55-59,Male,-1,United States of America,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",4-Mar,I do not know
586,30-34,Male,-1,Ireland,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
538,22-24,Male,-1,Russia,Master’s degree,Student,-1,,,
470,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
1449,55-59,Male,-1,France,Master’s degree,Research Scientist,-1,"1000-9,999 employees",0,We are exploring ML methods (and may one day put a model into production)
42,30-34,Male,-1,Singapore,,,-1,,,
762,25-29,Male,-1,India,Master’s degree,Business Analyst,-1,0-49 employees,9-May,We are exploring ML methods (and may one day put a model into production)
982,35-39,Male,-1,Portugal,Master’s degree,Software Engineer,-1,250-999 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
1042,40-44,Male,-1,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
632,22-24,Male,-1,India,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
441,45-49,Female,-1,United States of America,Master’s degree,Statistician,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
582,22-24,Male,-1,Pakistan,Bachelor’s degree,Data Scientist,-1,"1000-9,999 employees",4-Mar,We use ML methods for generating insights (but do not put working models into production)
321,30-34,Male,-1,United States of America,I prefer not to answer,Data Analyst,-1,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
326,40-44,Male,-1,Brazil,Professional degree,Statistician,-1,"> 10,000 employees",2-Jan,We are exploring ML methods (and may one day put a model into production)
983,35-39,Male,-1,Israel,Bachelor’s degree,Other,8,50-249 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
483,35-39,Male,-1,Russia,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,No (we do not use ML methods)
519,30-34,Male,-1,Nigeria,Bachelor’s degree,Research Scientist,-1,"1000-9,999 employees",20+,No (we do not use ML methods)
478,35-39,Female,-1,India,Master’s degree,Student,-1,,,
368,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
747,18-21,Male,-1,India,Bachelor’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1581,25-29,Male,-1,Japan,Bachelor’s degree,Software Engineer,-1,"1000-9,999 employees",2-Jan,No (we do not use ML methods)
518,35-39,Male,-1,United States of America,Master’s degree,Data Scientist,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
479,35-39,Male,-1,Other,Master’s degree,Data Scientist,-1,250-999 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1008,35-39,Male,-1,Italy,Doctoral degree,Other,9,250-999 employees,9-May,We use ML methods for generating insights (but do not put working models into production)
543,30-34,Female,-1,Italy,Master’s degree,Data Scientist,-1,"> 10,000 employees",14-Oct,We are exploring ML methods (and may one day put a model into production)
2055,18-21,Female,-1,India,Bachelor’s degree,Student,-1,,,
482,18-21,Male,-1,India,Bachelor’s degree,Student,-1,,,
444,25-29,Male,-1,France,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
491,18-21,Male,-1,India,Master’s degree,Student,-1,,,
431,30-34,Male,-1,Ukraine,Bachelor’s degree,Software Engineer,-1,0-49 employees,2-Jan,"We have well established ML methods (i.e., models in production for more than 2 years)"
309,22-24,Male,-1,India,Master’s degree,Student,-1,,,
540,25-29,Male,-1,India,Master’s degree,Data Scientist,-1,250-999 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
437,25-29,Male,-1,Japan,Master’s degree,Data Scientist,-1,0-49 employees,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)"
760,45-49,Male,-1,Italy,No formal education past high school,Not employed,-1,,,
736,35-39,Male,-1,Russia,Professional degree,Product/Project Manager,-1,50-249 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
551,35-39,Female,-1,Taiwan,Master’s degree,Product/Project Manager,-1,50-249 employees,2-Jan,No (we do not use ML methods)
923,22-24,Female,-1,United States of America,Bachelor’s degree,Data Scientist,-1,250-999 employees,9-May,We use ML methods for generating insights (but do not put working models into production)
712,70+,Male,-1,Other,Doctoral degree,Research Scientist,-1,0-49 employees,0,I do not know
958,22-24,Female,-1,India,I prefer not to answer,Software Engineer,-1,0-49 employees,2-Jan,I do not know
555,45-49,Male,-1,Other,Doctoral degree,Research Scientist,-1,250-999 employees,0,"We have well established ML methods (i.e., models in production for more than 2 years)"
409,30-34,Male,-1,Egypt,Master’s degree,Data Scientist,-1,0-49 employees,2-Jan,No (we do not use ML methods)
471,25-29,Male,-1,Brazil,Master’s degree,Software Engineer,-1,50-249 employees,0,We are exploring ML methods (and may one day put a model into production)
650,22-24,Male,-1,Brazil,Bachelor’s degree,Data Scientist,-1,250-999 employees,14-Oct,"We recently started using ML methods (i.e., models in production for less than 2 years)"
490,30-34,Male,-1,Russia,Doctoral degree,Data Scientist,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
528,40-44,Male,-1,United States of America,Master’s degree,Data Scientist,-1,0-49 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
252,35-39,Male,-1,India,Master’s degree,Software Engineer,-1,"> 10,000 employees",20+,I do not know
953,50-54,Female,-1,Brazil,Doctoral degree,Product/Project Manager,-1,0-49 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
345,22-24,Female,-1,Other,Master’s degree,Student,-1,,,
493,25-29,Female,-1,Ukraine,Bachelor’s degree,Software Engineer,-1,50-249 employees,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)"
539,30-34,Male,-1,Brazil,No formal education past high school,Student,-1,,,
325,18-21,Male,-1,India,Master’s degree,Student,-1,,,
1448,22-24,Male,-1,Bangladesh,Bachelor’s degree,Student,-1,,,
388,25-29,Female,-1,United States of America,Master’s degree,Data Scientist,-1,250-999 employees,2-Jan,We use ML methods for generating insights (but do not put working models into production)
683,25-29,Male,-1,Morocco,Doctoral degree,Statistician,-1,"> 10,000 employees",9-May,I do not know
274,25-29,Male,-1,Canada,Master’s degree,Data Scientist,-1,0-49 employees,20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
307,30-34,Female,-1,United States of America,Doctoral degree,Student,-1,,,
814,25-29,Female,-1,Canada,Master’s degree,Data Scientist,-1,250-999 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
721,22-24,Male,-1,United States of America,Master’s degree,Business Analyst,-1,"> 10,000 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
1057,25-29,Female,-1,United States of America,Doctoral degree,Student,-1,,,
669,25-29,Male,-1,Brazil,Bachelor’s degree,Other,10,"1000-9,999 employees",4-Mar,No (we do not use ML methods)
801,55-59,Male,-1,United States of America,Doctoral degree,Other,-1,"1000-9,999 employees",15-19,No (we do not use ML methods)
560,25-29,Male,-1,Hungary,Some college/university study without earning a bachelor’s degree,Data Analyst,-1,50-249 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
301,25-29,Male,-1,Belarus,Doctoral degree,Data Scientist,-1,250-999 employees,4-Mar,We use ML methods for generating insights (but do not put working models into production)
471,22-24,Male,-1,Spain,Master’s degree,Data Analyst,-1,0-49 employees,14-Oct,We use ML methods for generating insights (but do not put working models into production)
915,22-24,Male,-1,United States of America,Bachelor’s degree,Data Analyst,-1,0-49 employees,4-Mar,We are exploring ML methods (and may one day put a model into production)
731,22-24,Male,-1,India,Master’s degree,Student,-1,,,
482,22-24,Female,-1,India,Master’s degree,Data Scientist,-1,"1000-9,999 employees",20+,"We have well established ML methods (i.e., models in production for more than 2 years)"
5038,18-21,Male,-1,Canada,Bachelor’s degree,Data Scientist,-1,50-249 employees,20+,We use ML methods for generating insights (but do not put working models into production)
868,18-21,Female,-1,Nigeria,Bachelor’s degree,Student,-1,,,
699,25-29,Male,-1,India,Master’s degree,Business Analyst,-1,"> 10,000 employees",2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
279,25-29,Male,-1,South Korea,Bachelor’s degree,Student,-1,,,
1570,40-44,Male,-1,India,Master’s degree,Data Scientist,-1,"1000-9,999 employees",20+,We are exploring ML methods (and may one day put a model into production)
304,22-24,Female,-1,Other,Bachelor’s degree,Student,-1,,,
915,35-39,Male,-1,France,Master’s degree,Data Scientist,-1,50-249 employees,4-Mar,"We have well established ML methods (i.e., models in production for more than 2 years)"
529,30-34,Male,-1,Other,Doctoral degree,Data Scientist,-1,0-49 employees,2-Jan,"We recently started using ML methods (i.e., models in production for less than 2 years)"
399,30-34,Male,-1,Colombia,Doctoral degree,Research Scientist,-1,250-999 employees,20+,We use ML methods for generating insights (but do not put working models into production)
898,30-34,Male,-1,Brazil,Bachelor’s degree,Software Engineer,-1,"> 10,000 employees",20+,"We recently started using ML methods (i.e., models in production for less than 2 years)"
613,40-44,Male,-1,Germany,Doctoral degree,Research Scientist,-1,50-249 employees,9-May,"We recently started using ML methods (i.e., models in production for less than 2 years)"
